,id,price,address,type,bed,bath,area
209,listing_1364344_featured,"$1,995,000",505 West 43rd Street #6F,Condo,2 beds,2 baths,"1,041 ft??"
210,listing_1375227,"$1,275,000",160 W 77th Street #3D,Co-op,2 beds,2 baths,
211,listing_1375217,"$820,000",200 West 86th Street #16L,Co-op,1 bed,1 bath,
212,listing_1375213,"$985,000",196 Orchard Street #6M,Condo,,1 bath,573 ft??
213,listing_1375211,"$640,000",1175 York Avenue #2J,Condo,1 bed,1 bath,
214,listing_1375208,"$2,995,000",100 Barclay Street #15J,Condo,2 beds,2.5 baths,"1,410 ft??"
215,listing_1375206,"$499,000",413 Grand #F202,Co-op,,1 bath,500 ft??
216,listing_1375204,"$379,000",417 East 90th Street #2C,Co-op,,1 bath,500 ft??
217,listing_1375203,"$750,000",415 East 52nd Street #9FC,Co-op,1 bed,1 bath,
218,listing_1375202,"$3,250,000",329 West 108th Street #4B/D,Co-op,4 beds,3 baths,"2,412 ft??"
219,listing_1375196,"$2,736,000",252 South Street #34A,Condo,2 beds,2 baths,"1,163 ft??"
220,listing_1375197,"$2,602,000",252 South Street #48G,Condo,2 beds,2 baths,"1,156 ft??"
221,listing_1354505_featured,"$3,550,000",200 Central Park South #8HI,Co-op,3 beds,2.5 baths,"2,000 ft??"
222,listing_1370258_featured,"$13,950,000",60 Riverside Boulevard #2101,Condo,6 beds,8.5 baths,"5,641 ft??"
223,listing_1375195,"$2,297,000",252 South Street #29L,Condo,2 beds,2 baths,"1,123 ft??"
224,listing_1375194,"$1,895,000",252 South Street #9H,Condo,2 beds,2 baths,"1,156 ft??"
225,listing_1375193,"$2,466,000",252 South Street #51B,Condo,2 beds,2 baths,"1,045 ft??"
226,listing_1375191,"$3,635,000",252 South Street #76E,Condo,3 beds,2 baths,"1,400 ft??"
227,listing_1375189,"$6,605,000",252 South Street #57J,Condo,3 beds,3.5 baths,"2,347 ft??"
228,listing_1375190,"$2,996,000",252 South Street #62D,Condo,2 beds,2 baths,"1,170 ft??"
229,listing_1375188,"$3,838,000",252 South Street #41C,Condo,3 beds,3 baths,"1,487 ft??"
230,listing_1375186,"$4,398,000",252 South Street #59A,Condo,3 beds,3 baths,"1,667 ft??"
231,listing_1375187,"$2,150,000",252 South Street #15E,Condo,2 beds,2 baths,"1,123 ft??"
232,listing_1375181,"$799,000",305 East 24th Street #7D,Co-op,1 bed,1 bath,850 ft??
233,listing_1375180,"$349,000",155 East 49th Street #3C,Co-op,,1 bath,
234,listing_1364672_featured,"$750,000",345 East 80th Street #10H,Condo,1 bed,1 bath,627 ft??
235,listing_1260457_featured,"$2,850,000",360 East 89th Street #15C,Condo,2 beds,2.5 baths,"1,680 ft??"
236,listing_1375173,"$1,711,000",252 South Street #65L,Condo,1 bed,1 bath,709 ft??
237,listing_1375174,"$7,904,000",200 E 95th Street #28B,Condo,4 beds,4.5 baths,"2,688 ft??"
238,listing_1375172,"$1,569,000",252 South Street #57H,Condo,1 bed,1 bath,679 ft??
239,listing_1375171,"$1,216,000",252 South Street #12F,Condo,1 bed,1 bath,695 ft??
240,listing_1375170,"$1,434,000",252 South Street #12B,Condo,1 bed,1 bath,696 ft??
241,listing_1375169,"$6,077,000",200 E 95th Street #9B,Condo,4 beds,4.5 baths,"2,735 ft??"
242,listing_1375167,"$1,610,000",252 South Street #34N,Condo,1 bed,1 bath,723 ft??
243,listing_1375168,"$1,630,000",252 South Street #72G,Condo,1 bed,1 bath,688 ft??
244,listing_1375166,"$1,352,000",252 South Street #22K,Condo,1 bed,1 bath,695 ft??
245,listing_1375164,"$2,000,000",130 West 30th Street #2A,Condo,1 bed,2 baths,"1,661 ft??"
246,listing_1375163,"$525,000",325 East 41st Street #504,Co-op,1 bed,1 bath,
247,listing_1347110_featured,"$3,375,000",460 East 79th Street #17AB,Condo,4 beds,4 baths,"2,700 ft??"
248,listing_1377549_featured,"$4,994,995",160 Leroy Street NORTH8C,Condo,2 beds,2.5 baths,"1,728 ft??"
249,listing_1375158,"$950,000",160 East 65th Street #11E,Co-op,1 bed,1.5 baths,"1,000 ft??"
250,listing_1375155,"$1,300,000",58 West 58th Street #33B,Condo,1 bed,1 bath,
251,listing_1375154,"$995,000",115 East 9th Street #18D,Co-op,1 bed,1 bath,
252,listing_1375150,"$7,950,000",1301 Third Avenue ,Multi-family,8 beds,8 baths,
253,listing_1375142,"$4,872,000",200 E 95th Street #26C,Condo,3 beds,3 baths,"1,959 ft??"
254,listing_1375141,"$3,761,000",200 E 95th Street #6G,Condo,3 beds,3 baths,"1,871 ft??"
255,listing_1375134,"$820,000",540 West 49th Street #302S,Condo,,1 bath,521 ft??
256,listing_1375129,"$2,350,000",160 Central Park South #30007,Condo,1 bed,1 bath,904 ft??
257,listing_1375125,"$3,299,000",60 Riverside Boulevard #1112,Condo,3 beds,3.5 baths,"2,075 ft??"
258,listing_1375111,"$1,600,000",250 East 87th Street #3AJ,Co-op,4 beds,2 baths,"1,625 ft??"
259,listing_1375107,"$5,350,000",211 West 14th Street #TH,Condo,3 beds,3.5 baths,"2,081 ft??"
260,listing_1337483_featured,"$1,595,000",201 East 36th Street #19B,Condo,2 beds,2 baths,"1,339 ft??"
261,listing_1366481_featured,"$26,500,000",111 West 57th Street #53,Condo,3 beds,3.5 baths,"4,182 ft??"
262,listing_1375100,"$3,500,000",1 Gracie Square #8W,Co-op,3 beds,2 baths,
263,listing_1375098,"$1,995,000",546 West 148th Street ,Multi-family,5 beds,4 baths,"3,536 ft??"
264,listing_1375090,"$899,000",296 East 2nd Street #3F,Condo,1 bed,1 bath,797 ft??
265,listing_1375089,"$2,495,000",860 Fifth Avenue #6C,Co-op,2 beds,3 baths,
266,listing_1375087,"$2,295,000",318 West 47th Street #2,Condo,2 beds,2 baths,"1,313 ft??"
267,listing_1375086,"$2,195,000",1170 Fifth Avenue #11C,Co-op,3 beds,3 baths,
268,listing_1375084,"$9,999,000",260 West Broadway #1/2C,Condo,5 beds,6 baths,"8,100 ft??"
269,listing_1375083,"$2,995,000",220 Riverside Boulevard #24C,Condo,3 beds,3 baths,"1,833 ft??"
270,listing_1375082,"$1,108,888",516 West 47th Street #N4A,Condo,2 beds,2 baths,
271,listing_1375073,"$17,500,000",960 Fifth Avenue #MAISB,Co-op,3 beds,3.5 baths,
272,listing_1375072,"$6,995,000",15 East 91st Street #9A,Co-op,4 beds,4 baths,
