,price,address,type,area
106,975000,348 West 36th Street #2N,Co-op,900
109,848000,51 Saint Marks Place #10,Co-op,850
111,799000,817 West End Avenue #11E,Condo,685
112,3500000,222 Riverside Drive #9B,Condo,1900
113,4350000,21 West 121 ,Multi-family,5880
114,1225000,530 Grand Street #F10H,Co-op,1250
115,5050000,157 W 57th Street #36E,Condo,1406
118,2595000,151 West 17th Street #2H,Condo,1683
119,635000,100 West 57th Street #11M,Co-op,1200
121,17500000,157 W 57th Street #43C,Condo,3466
123,750000,345 East 80th Street #10E,Condo,625
124,4590000,404 Park Avenue South #6D,Condo,1762
125,949000,635 West 42nd Street #20M,Condo,613
126,995000,150 East 56th Street #4G,Condo,790
128,4998000,60 Riverside Boulevard #A3201,Condo,2255
129,995000,200 East 61st Street #12F,Condo,736
130,878000,40 Pinehurst Avenue #5D,Condo,862
131,65000000,100 East 53rd Street #PH,Condo,6760
133,2995000,360 East 88th Street #36C,Condo,2237
134,3100000,225 Rector Place #PH2B,Condo,1963
135,175000,529 West 152nd Street #31,Co-op,300
139,2925000,201 West 89th Street #7A,Co-op,1800
140,2750000,111 East 30th Street #1C,Condo,1575
141,1695000,70 Charlton Street #18D,Condop,831
142,4775000,70 Charlton Street #17E,Condop,2252
143,3690000,374 Broome Street #4B,Condo,1970
145,3215000,70 Charlton Street #9D,Condop,1631
146,1995000,50 Franklin Street #12B,Condo,1024
147,675000,123 West 80th Street #2R,Co-op,525
148,29250000,111 West 57th Street #49,Condo,4491
149,1900000,301 W 57th Street #25A,Condo,789
150,1400000,117 West 123rd Street #4A,Condo,1234
152,1250000,200 Rector Place #4Y,Condo,1054
156,5825000,269 West 87th Street #15A,Condop,2356
158,11750000,140 East 65th Street ,Townhouse,6950
165,1195000,45 East End Avenue #5H,Co-op,1100
167,3495000,88 Lexington #702,Condo,1873
168,7250000,304 West 18th Street ,Townhouse,3363
171,1260000,10 West End Avenue #5G,Condo,829
172,1050000,420 East 64th Street #E7H,Condop,930
173,425000,65 Park Terrace East #C58,Co-op,800
174,1450000,18 W 48th Street #14A,Condo,848
176,2250000,45 East 22nd Street #18B,Condo,1087
177,12950000,40 Sullivan Street ,Townhouse,6709
179,3150000,27 Leonard Street #5,Condo,1650
181,2995000,100 Norfolk Street #3C,Condo,1298
182,15750000,200 East 59th Street #PH32,Condo,3924
183,1895000,252 South Street #9H,Condo,1156
184,949000,250 West 16th Street #3C,Co-op,800
185,4200000,196 Orchard Street #10D,Condo,1555
186,635000,234 West 148th Street #4E,Condo,750
187,765000,308 E 38th Street #6F,Condo,645
188,749000,157 East 72nd Street #8J,Condo,650
192,1225000,11 East 29th Street #7B,Condo,767
193,1165000,77 Park Avenue #7G,Condo,800
194,8550000,1 Central Park West #32D,Condo,2165
196,995000,385 First Avenue #2F,Condo,720
199,3825000,200 East 89th Street 10128 #44/45S,Condo,1600
201,1680000,200 Rector Place #36M,Condo,1150
202,1450000,175 East 62nd Street #5A,Co-op,2000
205,4699000,350 East 82nd Street #PHCD,Condo,2758
208,1695000,515 East 72nd Street #4P,Condo,1027
209,1995000,505 West 43rd Street #6F,Condo,1041
212,985000,196 Orchard Street #6M,Condo,573
214,2995000,100 Barclay Street #15J,Condo,1410
215,499000,413 Grand #F202,Co-op,500
216,379000,417 East 90th Street #2C,Co-op,500
218,3250000,329 West 108th Street #4B/D,Co-op,2412
219,2736000,252 South Street #34A,Condo,1163
220,2602000,252 South Street #48G,Condo,1156
221,3550000,200 Central Park South #8HI,Co-op,2000
222,13950000,60 Riverside Boulevard #2101,Condo,5641
223,2297000,252 South Street #29L,Condo,1123
224,1895000,252 South Street #9H,Condo,1156
225,2466000,252 South Street #51B,Condo,1045
226,3635000,252 South Street #76E,Condo,1400
227,6605000,252 South Street #57J,Condo,2347
228,2996000,252 South Street #62D,Condo,1170
229,3838000,252 South Street #41C,Condo,1487
230,4398000,252 South Street #59A,Condo,1667
231,2150000,252 South Street #15E,Condo,1123
232,799000,305 East 24th Street #7D,Co-op,850
234,750000,345 East 80th Street #10H,Condo,627
235,2850000,360 East 89th Street #15C,Condo,1680
236,1711000,252 South Street #65L,Condo,709
237,7904000,200 E 95th Street #28B,Condo,2688
238,1569000,252 South Street #57H,Condo,679
239,1216000,252 South Street #12F,Condo,695
240,1434000,252 South Street #12B,Condo,696
241,6077000,200 E 95th Street #9B,Condo,2735
242,1610000,252 South Street #34N,Condo,723
243,1630000,252 South Street #72G,Condo,688
244,1352000,252 South Street #22K,Condo,695
245,2000000,130 West 30th Street #2A,Condo,1661
247,3375000,460 East 79th Street #17AB,Condo,2700
248,4994995,160 Leroy Street NORTH8C,Condo,1728
249,950000,160 East 65th Street #11E,Co-op,1000
253,4872000,200 E 95th Street #26C,Condo,1959
254,3761000,200 E 95th Street #6G,Condo,1871
255,820000,540 West 49th Street #302S,Condo,521
256,2350000,160 Central Park South #30007,Condo,904
257,3299000,60 Riverside Boulevard #1112,Condo,2075
258,1600000,250 East 87th Street #3AJ,Co-op,1625
259,5350000,211 West 14th Street #TH,Condo,2081
260,1595000,201 East 36th Street #19B,Condo,1339
261,26500000,111 West 57th Street #53,Condo,4182
263,1995000,546 West 148th Street ,Multi-family,3536
264,899000,296 East 2nd Street #3F,Condo,797
266,2295000,318 West 47th Street #2,Condo,1313
268,9999000,260 West Broadway #1/2C,Condo,8100
269,2995000,220 Riverside Boulevard #24C,Condo,1833
273,4900000,655 Park Avenue #4D,Co-op,2350
274,1560000,1325 Fifth Avenue #6C,Condo,1332
276,5950000,150 East 23rd Street #PHA,Condo,2382
277,4250000,150 East 23rd Street #16B,Condo,2008
278,1385000,167 East 82nd Street #3D,Condo,878
281,3145000,150 East 23rd Street #11B,Condo,1571
282,2975000,150 East 23rd Street #3C,Condo,1619
284,3100000,150 East 23rd Street #17B,Condo,1427
285,2500000,150 East 23rd Street #9D,Condo,1302
288,575000,150 West 51st Street #903,Condo,400
289,2375000,150 East 23rd Street #5D,Condo,1302
290,2699000,323 East 116th Street ,Townhouse,4760
292,14950000,498 West End Avenue #PH,Condo,3646
293,1895000,215 West 122nd Street #PH,Condo,1345
294,3310000,685 First Avenue #32D,Condo,1564
295,1600000,188 East 64th Street #902,Condo,920
296,960000,322 West 57 #19D,Condo,583
297,2200000,150 East 23rd Street #2A,Condo,1342
298,1845000,150 East 23rd Street #8B,Condo,908
299,5825000,269 West 87th Street #15A,Condop,2356
301,3350000,75 Wall Street #34O,Condo,1914
302,3850000,1212 Fifth Avenue #5B,Condo,1804
304,1100000,208 E Broadway #J1406,Co-op,1000
305,6600000,129 Lafayette Street #10A,Condo,3008
306,1185000,150 East 23rd Street #7A,Condo,702
307,1195000,470 West 24th Street #9J,Co-op,875
308,1110000,150 East 23rd Street #3A,Condo,692
309,4450000,39 Vestry Street #3A,Condo,2230
311,1095000,150 East 23rd Street #4B,Condo,646
313,2495000,785 Park Avenue #15A,Co-op,1575
314,590000,420 Central Park West #2D,Condo,400
315,4315000,15 Hudson Yards #27G,Condo,1464
317,750000,16 West 16th Street #8GN,Co-op,600
318,1700000,10 West 66th Street #33G,Co-op,850
320,720000,345 East 80th Street #18L,Condo,592
321,2950000,421 W 54th #4D,Condo,2378
323,4485000,100 Barclay Street #16L,Condo,2064
324,2495000,400 East 54th Street #28AH,Condo,1615
326,6825000,269 West 87th Street TOWNHOUSE1,Condop,3749
327,899000,1810 Third Avenue #B9D,Condo,847
328,1575000,416 W 52nd Street #725,Condo,960
330,7995000,285 Lafayette Street #5E,Condo,2660
331,995000,236 East 47th Street #25B,Condo,653
332,50000000,520 West 28th Street #PH37,Condo,6853
333,1275000,425 5th Avenue #31A,Condo,789
334,10750000,443 Greenwich Street #2J,Condo,2868
